source_index,group,actual,predicted,confidence,accepted
1127,12,2,2,1.0,True
1132,16,2,2,1.0,True
1139,16,2,2,1.0,True
1141,7,2,2,1.0,True
1143,12,2,2,1.0,True
1146,16,2,2,1.0,True
1150,7,2,2,1.0,True
1154,16,2,2,1.0,True
1155,16,2,2,1.0,True
1162,7,2,2,1.0,True
1168,12,2,2,1.0,True
1179,3,2,2,1.0,True
1180,12,2,2,1.0,True
1183,16,2,2,1.0,True
1184,3,2,2,1.0,True
1190,3,2,2,1.0,True
1193,7,2,2,1.0,True
1196,12,2,2,1.0,True
1198,7,2,2,1.0,True
1199,12,2,2,1.0,True
1205,12,2,2,1.0,True
1208,7,2,2,1.0,True
1210,7,2,2,1.0,True
1217,12,2,2,1.0,True
1243,12,2,2,1.0,True
1251,12,2,2,1.0,True
1254,12,2,2,1.0,True
1255,12,2,2,1.0,True
1264,16,2,2,1.0,True
1279,3,2,2,1.0,True
1281,7,2,2,1.0,True
1284,16,2,2,1.0,True
1285,12,2,2,1.0,True
1287,12,2,2,1.0,True
1293,3,2,2,1.0,True
1297,12,2,2,1.0,True
1301,16,3,3,1.0,True
1311,12,3,3,1.0,True
1324,3,3,3,1.0,True
1330,16,3,3,1.0,True
1331,16,3,3,1.0,True
1349,3,3,3,1.0,True
1350,3,3,3,1.0,True
1353,16,3,3,1.0,True
1365,7,3,3,1.0,True
1373,12,3,3,1.0,True
1379,16,3,3,1.0,True
1392,12,3,3,1.0,True
1404,12,3,3,1.0,True
1409,3,3,3,1.0,True
1424,7,3,3,1.0,True
1436,12,3,3,1.0,True
1442,12,3,3,1.0,True
1445,16,3,3,1.0,True
1456,7,3,3,1.0,True
1461,7,3,3,1.0,True
1467,3,3,3,1.0,True
1475,16,3,3,1.0,True
1480,7,3,3,1.0,True
1481,3,3,3,1.0,True
1483,12,3,3,1.0,True
1496,7,3,3,0.7222222222222222,True
1499,16,3,2,0.07822450474384743,True
